Post,,,Client,Post Date,Post type,Views,Likes,Comments,Shares,Profile visits,Profile Reach,Views,Likes,Comments,Shares,Engagements,Views,Likes,Comments,Repost,Engagement,Clicks,Views,Likes,Comments
🚨Attention Alumni Squad 📢,,,Einstein,07-01-2026,Video,4149,149,1,137,8,"3,598",1059,24,0,3,28,-,-,-,-,-,-,164,5,0
Every corner of this campus holds a memory.❤️,,,Einstein,07-02-2026,Post,"1,121",26,0,10,0,955,193,3,0,0,4,-,-,-,-,-,-,-,-,-
A Glimpse of Convocation 2026🎓,,,Einstein,07-03-2026,Video,"10,792",407,0,131,17,"7,801",1030,20,0,0,21,-,-,-,-,-,-,882,21,0
Taste-ல king… IVN செங்கல்பட்டு அரிசி! 👑🌾,,,IVN,02-Jul,Post,126,6,0,0,0,98,30,3,0,0,3,-,-,-,,,,,,
Full and full coconut oli la dhan samaika poren minivlog,,,IVN,03-Jul,Video,"44,851",532,6,9,0,39568,-,-,-,-,-,-,-,-,,,,,,
இதுக்குத்தான் Wait பண்ணோம்...🤩,,,NTT,03-Jul,Post,"2,776",25,0,5,1,2489,841,5,0,0,5,-,-,-,,,,,,
ஆடியின் ராஜா தேசிங்ராஜா😎,,,NTT,04-Jul,Video,"8,941",223,3,149,4,"7,496",2625,47,0,0,47,-,-,-,,,,,,
⛽ Petrol Bunk English – Speak Like a Pro! 🚗🗣️,,,Dream Daa,04-Jul,Video,1551,23,0,1,5,"1,152",451,3,0,0,3,-,-,-,-,-,-,29,2,0
🎉 Happy Birthday, Lalitha Sri!,,,Quade,02-Jul,Post,321,25,0,1,0,248,1191,37,1,0,827,,,,,,,,,
